🇨🇳🇨🇳家的味道🇨🇳🇨🇳,#genre#



CCTV1综合,http://180.159.89.55:9200/udp/239.45.3.145:5140
CCTV2财经,http://180.159.89.55:9200/udp/239.45.1.109:5140
CCTV3综艺,http://180.159.89.55:9200/udp/239.45.1.68:5140
CCTV4中文国际,http://180.159.89.55:9200/udp/239.45.0.2:5140
CCTV5体育,http://180.159.89.55:9200/udp/239.45.1.69:5140
CCTV6电影,http://180.159.89.55:9200/udp/239.45.1.70:5140
CCTV7国防军事,http://180.159.89.55:9200/udp/239.45.3.56:5140
CCTV8电视剧,http://180.159.89.55:9200/udp/239.45.1.71:5140
CCTV9记录,http://180.159.89.55:9200/udp/239.45.3.4:5140
CCTV10科教,http://180.159.89.55:9200/udp/239.45.3.8:5140
CCTV11戏曲,http://180.159.89.55:9200/udp/239.45.1.196:5140
CCTV12社会与法,http://180.159.89.55:9200/udp/239.45.3.10:5140
CCTV13新闻,http://180.159.89.55:9200/udp/239.45.1.198:5140
CCTV14少儿,http://180.159.89.55:9200/udp/239.45.3.23:5140
CCTV15音乐,http://180.159.89.55:9200/udp/239.45.1.200:5140
CGTN,http://180.159.89.55:9200/udp/239.45.1.194:5140
CCTV-17农村农业,http://180.159.89.55:9200/udp/239.45.3.52:5140

新闻综合,http://180.159.89.55:9200/udp/239.45.3.209:5140
东方卫视,http://180.159.89.55:9200/udp/239.45.3.146:5140
都市频道,http://180.159.89.55:9200/udp/239.45.3.236:5140
纪实人文,http://180.159.89.55:9200/udp/239.45.3.212:5140
东方影视,http://180.159.89.55:9200/udp/239.45.3.237:5140
第一财经,http://180.159.89.55:9200/udp/239.45.3.211:5140
五星体育,http://180.159.89.55:9200/udp/239.45.3.210:5140
哈哈炫动,http://180.159.89.55:9200/udp/239.45.1.55:5140
上视外语,http://180.159.89.55:9200/udp/239.45.1.127:5140
都市剧场,http://180.159.89.55:9200/udp/239.45.3.136:5140
欢笑剧场,http://180.159.89.55:9200/udp/239.45.3.196:5140
欢笑剧场,http://180.159.89.55:9200/udp/239.45.1.4:5140
教育台,http://180.159.89.55:9200/udp/239.45.3.122:5140
东方财经,http://180.159.89.55:9200/udp/239.45.1.119:5140
七彩戏剧,http://180.159.89.55:9200/udp/239.45.3.61:5140
法治天地,http://180.159.89.55:9200/udp/239.45.1.46:5140
浦东频道,http://180.159.89.55:9200/udp/239.45.3.248:5140
崇明电视,http://180.159.89.55:9200/udp/239.45.1.54:5140
嘉定频道,http://180.159.89.55:9200/udp/239.45.3.185:5140
金色频道,http://180.159.89.55:9200/udp/239.45.1.118:5140
健康人生,http://180.159.89.55:9200/udp/239.45.3.214:5140

深圳卫视,http://180.159.89.55:9200/udp/239.45.3.231:5140
湖南卫视,http://180.159.89.55:9200/udp/239.45.3.228:5140
河南卫视,http://180.159.89.55:9200/udp/239.45.0.3:5140



🇨🇳🇨🇳央视IPV6🇨🇳🇨🇳,#genre#


CCTV1综合,http://180.159.89.55:9200/udp/239.45.3.145:5140
CCTV2财经,http://180.159.89.55:9200/udp/239.45.1.109:5140
CCTV3综艺,http://180.159.89.55:9200/udp/239.45.1.68:5140
